글자,자모1,자모2,자모3,자모4,자모5
가격,ᄀ,ᅡ,ᄀ,ᅧ,ᆨ
가난,ᄀ,ᅡ,ᄂ,ᅡ,ᆫ
가능,ᄀ,ᅡ,ᄂ,ᅳ,ᆼ
가뭄,ᄀ,ᅡ,ᄆ,ᅮ,ᆷ
가방,ᄀ,ᅡ,ᄇ,ᅡ,ᆼ
가상,ᄀ,ᅡ,ᄉ,ᅡ,ᆼ
가슴,ᄀ,ᅡ,ᄉ,ᅳ,ᆷ
가을,ᄀ,ᅡ,ᄋ,ᅳ,ᆯ
가입,ᄀ,ᅡ,ᄋ,ᅵ,ᆸ
가장,ᄀ,ᅡ,ᄌ,ᅡ,ᆼ
가정,ᄀ,ᅡ,ᄌ,ᅥ,ᆼ
가정,ᄀ,ᅡ,ᄌ,ᅥ,ᆼ
가족,ᄀ,ᅡ,ᄌ,ᅩ,ᆨ
가죽,ᄀ,ᅡ,ᄌ,ᅮ,ᆨ
각오,ᄀ,ᅡ,ᆨ,ᄋ,ᅩ
각자,ᄀ,ᅡ,ᆨ,ᄌ,ᅡ
간부,ᄀ,ᅡ,ᆫ,ᄇ,ᅮ
간호,ᄀ,ᅡ,ᆫ,ᄒ,ᅩ
갈비,ᄀ,ᅡ,ᆯ,ᄇ,ᅵ
감기,ᄀ,ᅡ,ᆷ,ᄀ,ᅵ
감사,ᄀ,ᅡ,ᆷ,ᄉ,ᅡ
감소,ᄀ,ᅡ,ᆷ,ᄉ,ᅩ
감자,ᄀ,ᅡ,ᆷ,ᄌ,ᅡ
강도,ᄀ,ᅡ,ᆼ,ᄃ,ᅩ
강도,ᄀ,ᅡ,ᆼ,ᄃ,ᅩ
강사,ᄀ,ᅡ,ᆼ,ᄉ,ᅡ
강의,ᄀ,ᅡ,ᆼ,ᄋ,ᅴ
강제,ᄀ,ᅡ,ᆼ,ᄌ,ᅦ
강조,ᄀ,ᅡ,ᆼ,ᄌ,ᅩ
개방,ᄀ,ᅢ,ᄇ,ᅡ,ᆼ
개별,ᄀ,ᅢ,ᄇ,ᅧ,ᆯ
개선,ᄀ,ᅢ,ᄉ,ᅥ,ᆫ
개성,ᄀ,ᅢ,ᄉ,ᅥ,ᆼ
개인,ᄀ,ᅢ,ᄋ,ᅵ,ᆫ
거실,ᄀ,ᅥ,ᄉ,ᅵ,ᆯ
거액,ᄀ,ᅥ,ᄋ,ᅢ,ᆨ
거울,ᄀ,ᅥ,ᄋ,ᅮ,ᆯ
거짓,ᄀ,ᅥ,ᄌ,ᅵ,ᆺ
거품,ᄀ,ᅥ,ᄑ,ᅮ,ᆷ
건너,ᄀ,ᅥ,ᆫ,ᄂ,ᅥ
건조,ᄀ,ᅥ,ᆫ,ᄌ,ᅩ
걷기,ᄀ,ᅥ,ᆮ,ᄀ,ᅵ
검사,ᄀ,ᅥ,ᆷ,ᄉ,ᅡ
검사,ᄀ,ᅥ,ᆷ,ᄉ,ᅡ
검토,ᄀ,ᅥ,ᆷ,ᄐ,ᅩ
게임,ᄀ,ᅦ,ᄋ,ᅵ,ᆷ
겨울,ᄀ,ᅧ,ᄋ,ᅮ,ᆯ
견해,ᄀ,ᅧ,ᆫ,ᄒ,ᅢ
결과,ᄀ,ᅧ,ᆯ,ᄀ,ᅪ
경계,ᄀ,ᅧ,ᆼ,ᄀ,ᅨ
경고,ᄀ,ᅧ,ᆼ,ᄀ,ᅩ
경기,ᄀ,ᅧ,ᆼ,ᄀ,ᅵ
경기,ᄀ,ᅧ,ᆼ,ᄀ,ᅵ
경비,ᄀ,ᅧ,ᆼ,ᄇ,ᅵ
